gdb,table,fc,field_name,field_alias,field_alias_2,field_type,Baseline FCS,Baseline FCS Nice Name,original field,Category,Report Measurement,Notes
C:\Users\romeolf\Desktop\task3_3\Build_Cost_Surface.gdb,grid,base_aea_10km_SpatialJoin_42_51_55_59_28,ActSnk_N,Active Sink Count,Active Sink Count,Integer,Active_Sinks,Active Sinks,,Infrastructure,Count,
C:\Users\romeolf\Desktop\task3_3\Build_Cost_Surface.gdb,grid,base_aea_10km_SpatialJoin_42_51_55_59_28,ActSrc_N,Active Source Count,Active Source Count,Integer,Active_Sources,Active Sources,,Infrastructure,Count,
C:\Users\romeolf\Desktop\task3_3\Build_Cost_Surface.gdb,grid,base_aea_10km_SpatialJoin_42_51_55_59_28,Aqfr_A_0,Aquifer Coverage (km) - Puget Sound aquifer system,Puget Sound,Double,Aquifers,Aquifers,AQ_NAME,Hydrology,Area,
C:\Users\romeolf\Desktop\task3_3\Build_Cost_Surface.gdb,grid,base_aea_10km_SpatialJoin_42_51_55_59_28,Aqfr_A_1,Aquifer Coverage (km) - Northern Rocky Mountains Intermontane Basins aquifer system,Northern Rocky Mountains Intermontane Basins,Double,Aquifers,Aquifers,AQ_NAME,Hydrology,Area,
C:\Users\romeolf\Desktop\task3_3\Build_Cost_Surface.gdb,grid,base_aea_10km_SpatialJoin_42_51_55_59_28,Aqfr_A_10,Aquifer Coverage (km) - Willamette Lowland basin-fill aquifers,Willamette Lowland Basin-fill,Double,Aquifers,Aquifers,AQ_NAME,Hydrology,Area,
C:\Users\romeolf\Desktop\task3_3\Build_Cost_Surface.gdb,grid,base_aea_10km_SpatialJoin_42_51_55_59_28,Aqfr_A_11,Aquifer Coverage (km) - Snake River Plain basin-fill aquifers,Snake River Plain Basin-fill,Double,Aquifers,Aquifers,AQ_NAME,Hydrology,Area,
C:\Users\romeolf\Desktop\task3_3\Build_Cost_Surface.gdb,grid,base_aea_10km_SpatialJoin_42_51_55_59_28,Aqfr_A_12,Aquifer Coverage (km) - High Plains aquifer,High Plains ,Double,Aquifers,Aquifers,AQ_NAME,Hydrology,Area,
C:\Users\romeolf\Desktop\task3_3\Build_Cost_Surface.gdb,grid,base_aea_10km_SpatialJoin_42_51_55_59_28,Aqfr_A_13,Aquifer Coverage (km) - Central Valley aquifer system,Central Valley,Double,Aquifers,Aquifers,AQ_NAME,Hydrology,Area,
C:\Users\romeolf\Desktop\task3_3\Build_Cost_Surface.gdb,grid,base_aea_10km_SpatialJoin_42_51_55_59_28,Aqfr_A_14,Aquifer Coverage (km) - Rio Grande aquifer system,Rio Grande,Double,Aquifers,Aquifers,AQ_NAME,Hydrology,Area,
C:\Users\romeolf\Desktop\task3_3\Build_Cost_Surface.gdb,grid,base_aea_10km_SpatialJoin_42_51_55_59_28,Aqfr_A_15,Aquifer Coverage (km) - Southeastern Coastal Plain aquifer system,Southeastern Coastal Plain,Double,Aquifers,Aquifers,AQ_NAME,Hydrology,Area,
C:\Users\romeolf\Desktop\task3_3\Build_Cost_Surface.gdb,grid,base_aea_10km_SpatialJoin_42_51_55_59_28,Aqfr_A_16,Aquifer Coverage (km) - Mississippi River Valley alluvial aquifer,Mississippi River Valley Alluvial ,Double,Aquifers,Aquifers,AQ_NAME,Hydrology,Area,
