(-101.99111938021537, 35.07191354565664)
(-102.09906766385528, 34.98115742979308)
(-101.9765503554014, 34.90127362612114)
(-101.96929241751752, 34.815928436258204)
(-102.07687668354694, 34.72513815344043)
(-102.0695154298908, 34.639763966373515)
(-102.0621719631115, 34.55437238010869)
(-102.05484620568808, 34.46896324629167)
(-102.04753808754376, 34.383536419061166)
(-102.15436615721623, 34.29258803238892)
(-102.03297460994466, 34.21262918139428)
(-102.02571914837604, 34.12714848823002)
(-102.01848109526522, 34.04164956683907)
(-102.01126044105844, 33.95613224569842)
(-102.0040571242213, 33.87059639036302)
(-101.99687103015032, 33.78504189384266)
(-101.98970211679269, 33.69946857926169)
(-101.98255031924488, 33.61387632304133)
(-101.97541555986027, 33.52826501476588)
(-101.96829770097091, 33.44263458961719)
(-101.96119672469293, 33.35698487644843)
(-101.95411260948052, 33.27131570408857)
(-101.94704525344872, 33.18562692888616)
(-101.93999461796992, 33.09991842228355)
(-101.93296065665186, 33.01419005128747)
(-101.92594328004456, 32.92844165330737)
(-101.91894245334761, 32.84267311471137)
(-101.8002339177541, 32.7621914748501)
(-101.90499035464548, 32.67107525755458)
(-101.89803898026484, 32.58524568333958)
(-101.8911039325413, 32.4993954329897)
(-101.88418509614324, 32.41352438614114)
(-101.87728246500521, 32.327632380450794)
(-101.87039599783705, 32.24171927500173)
